name,is_active,is_accepting,recruiting_cycle,membership_process,type,email,website,picture_url,mission
LGBT Grad,TRUE,FALSE,Open,Open Membership,Gender and Sexuality,lgbt-grad-admin@mit.edu,https://www.mit.edu/~lgbtgrad/,,"We serve to support LGBTQ+ graduate students and allies at MIT. While our main focus is on the graduate community at MIT, our events and opportunities are often open to the broader queer community at MIT and beyond."
TransMIT,TRUE,TRUE,Open,Open Membership,Gender and Sexuality,transmit-exec@mit.edu,https://engage.mit.edu/trans/home/,,"The purpose of TransMIT is to support the trans and gender expansive (i.e. identities including but not limited to: transgender, transsexual, gender non-conforming (GNC), genderqueer, two-spirit, agender, non-binary, and gender questioning) community at MIT. TransMIT will fulfill this purpose by: Developing and hosting programming to further the social and professional development of its members, Raising awareness of the existence and experiences of trans and gender expansive individuals at MIT, Collecting and sharing resources that are relevant to the needs of the trans and gender expansive community at MIT, Serving as an advocate for the needs of all trans individuals affected by MIT policy."
Anime Club,TRUE,TRUE,Open,Open Membership,Hobbies and Special Interests, anime-inquiry@mit.edu,https://anime.mit.edu/,,The MIT Anime Club is a non-profit MIT student organization dedicated to increasing the awareness of Japanese animation (anime) on campus.
"	
Assassins Guild",TRUE,TRUE,Open,Open Membership,Hobbies and Special Interests,high-council@mit.edu,https://web.mit.edu/~assassin/,,"We are the MIT Assassins Guild, the LARP and nerf gun focused club at MIT! Join us to spend your day (or week) having a blast! The purpose of the Guild is to sponsor real-time, real-space roleplaying games known as Assassin Games, and real-time, real-space simulated combat."
Campus Crusade for Cthulhu,FALSE,FALSE,Open,Open Membership,Hobbies and Special Interests,elder-gods@mit.edu,https://web.mit.edu/cthulhu/www/MITCCCth-AboutUs.html,,"The Campus Crusade for Cthulhu serves to informal social and literary interest group, rather than a religious group, surrounding the Cthulhu mythos and the literary works of H. P. Lovecraft, et. al."
Climbing Club,TRUE,TRUE,Open,Open Membership,Hobbies and Special Interests,climbing-exec@mit.edu,https://climbing-club.scripts.mit.edu/climb-on/contact/,,"The purpose of our group is to increase the accessibility of indoor rock climbing within the MIT community and form an indoor rock climbing community. We want to provide transportation to and from climbing gyms, be able to subsidize day passes/ memberships for students who would otherwise not be able to afford them and form a community. We will focus on several types of climbing including lead, bouldering, and top rope. We want to appeal to a variety of community members- from people who have never rock climbed before to experienced climbers. We hope to provide a warm and welcoming environment for students at MIT to join and take a break from their PSETS."
DDR@MIT,TRUE,TRUE,Open,Open Membership,Hobbies and Special Interests,ddr-exec@mit.edu,http://ddr.mit.edu/,,"The purpose of DDR@MIT is to facilitate and promote the enjoyment of Dance Dance Revolution, In The Groove, and other related music/dance video games for MIT and the greater Boston community."
Debate Team,TRUE,TRUE,Open,Open Membership,Hobbies and Special Interests,debate-exec@mit.edu,http://debate.mit.edu/,,"The purpose of the MIT Debate Team is to compete on the American Parliamentary Debate Association collegiate debate circuit, educate members about the fundamentals of parliamentary debate, and offer opportunities to practice and write cases with a group of other debaters."
Go Club,TRUE,TRUE,Open,Open Membership,Hobbies and Special Interests,mitgoclub-staff@mit.edu,https://web.mit.edu/go/,,"The purpose of The MIT Go Club, hereafter referred to as the Club, is to promote the game of Go within MIT. To accomplish this goal, the Club strives to provide facilities where all members of the community can meet to enjoy the game of Go. It may also sponsor events that promote awareness and enjoyment of the game."
Laboratory for Chocolate Science,TRUE,TRUE,Open,Open Membership,Hobbies and Special Interests,chocolatiers-officers@mit.edu,https://chocolate.mit.edu/,,"Founded in 2003, the Laboratory for Chocolate Science (LCS) is dedicated to spreading the appreciation of chocolate on campus, and to bringing opportunities for learning about, appreciation of, and indulgence in our favorite substance to the community."
Locksport,TRUE,TRUE,Open,Open Membership,Hobbies and Special Interests,locksport-officers@mit.edu,https://engage.mit.edu/lks/home/,,To teach and practice responsible locksport
MIT Guild of Bellringers,TRUE,TRUE,Open,Open Membership,Hobbies and Special Interests,bellringers@mit.edu,https://web.mit.edu/bellringers/www/index.html,,The purpose of the Guild is to promote and perpetuate the art of bell ringing and to provide an opportunity for its members to participate and improve in the group ringing of tower bells and hand bells.
Pokemon League,TRUE,TRUE,Open,Open Membership,Hobbies and Special Interests,pokemonmasters@mit.edu,http://pokemon.mit.edu/,,"The purpose of MIT Pokémon League is to (1) promote an MIT student community that appreciates and plays a variety of Pokémon games and (2) establish a Pokémon League at MIT, which will be officially recognized by the Play! Pokémon organization."
Radio Society W1MX,TRUE,TRUE,Open,Open Membership,Hobbies and Special Interests,w1mx-officers@mit.edu,https://w1mx.mit.edu/,,"The purpose of the Society shall be to gather together the students of MIT having an interest in amateur radio. The Society will endeavor to maintain an HF (Below 30MHz) Amateur Radio Station for the use of its members, both in individual activities and with the intent of promoting the image of MIT throughout the world via amateur radio."
Robotics Team,FALSE,FALSE,Open,Open Membership,Hobbies and Special Interests,roboteam-exec@mit.edu,https://www.facebook.com/MITRobotics,,"The purpose of the Society shall be to gather together the students of MIT having an interest in amateur radio. The Society will endeavor to maintain an HF (Below 30MHz) Amateur Radio Station for the use of its members, both in individual activities and with the intent of promoting the image of MIT throughout the world via amateur radio."
Rocket Team,TRUE,TRUE,Open,Open Membership,Hobbies and Special Interests,rt-exec@mit.edu,https://rocketry.mit.edu/contact,,"We will design, build, test, launch, and recover a rocket — flying an engaging scientific experiment — beyond the Kármán Line."
SaveTFP,TRUE,FALSE,Unknown,Unknown,Hobbies and Special Interests,savetfp-exec@mit.edu,http://savetfp.mit.edu/,,SaveTFP is committed to reducing stress and facilitating student social activities while increasing health awareness and curbing dangerous behaviors at MIT.
